id,createdAt,twitterUrl,likeCount,retweetCount,viewCount,text
1.6102028008432886e+18,2023-01-03 09:13:58+00:00,https://twitter.com/lol_LackOfLogic/status/1610202800843288577,3,2,161.0,"#saveEarth your urge to buy unnecessary things is killing your planet. Ecommerce companies should use eco-friendly packaging, #amazon &amp; #flipkart #blinkit #zomato #zepto you all came to fix the problems, I'm sure u all will fix this as well #plastic #plasticfree #plasticpollution"
1.6102186703993242e+18,2023-01-03 10:17:02+00:00,https://twitter.com/FortuneIndia/status/1610218670399324161,0,0,251.0,"Dunzo, Blinkit, Zepto new distribution platforms for FMCG majors, reports @AjitaShashidhar  https://t.co/nYz3BPgBsL #Blinkit #Instamart #Zepto"
1.6104849401935667e+18,2023-01-04 03:55:05+00:00,https://twitter.com/ETtech/status/1610484940193566723,1,1,683.0,"Companies in the quick commerce space, which include Dunzo, #BigBasket, Zomato's #Blinkit, Swiggy’s #Instamart and #Zepto, have focused on improving unit economics throughout the last year and further improvements are expected in 2023.

Read more here
https://t.co/xfO2bRJbcV https://t.co/Vii2fFhPfj"
1.6104996783277056e+18,2023-01-04 04:53:39+00:00,https://twitter.com/manishj82484510/status/1610499678327705602,0,0,32.0,"@AmazonHelp Why was my order cancelled? 

Is this how you guys help customers... Refund my #prime membership charges... 

I will order from #swiggyinstamart Or #blinkit Or #bigbasket... 

Your service is pathetic #Amazon."
1.6109561975738245e+18,2023-01-05 11:07:42+00:00,https://twitter.com/AleaIT/status/1610956197573824512,1,0,129.0,"Did you know the global of In-Store pickup and delivery Market Size generated $454.5bn in 2023 and Pickup Sales Surged by 239%? 🤑
.
we can help you to create your own pickup &amp; Delivery App.
.
.
.
#10minutedelivery #Dunzo #swiggygenie #swiggy #blinkit #zepto #web3 #pinetwork . https://t.co/WT5sUfFa2Q"
1.611030564609626e+18,2023-01-05 16:03:12+00:00,https://twitter.com/SauravDabas2/status/1611030564609626113,0,0,46.0,Over 50% consumers pre-plan their https://t.co/gsJV4Eaj8g #groceries #consumerbehaviousr #onlinegroceryshopping #jiomart #flipkartgrocery #blinkit #quickcommerce #retail #bigbasket #dunzo #amazonfresh #zepto #swiggyinstamart #ecommerce
1.6115825223366124e+18,2023-01-07 04:36:29+00:00,https://twitter.com/_talk2shekhar/status/1611582522336612352,0,0,53.0,"If you favourite E-commerce store does this click bait tricks with you then  just avoid the store for all future transaction 

#E-commerce #clickbait #fraud #Online #shopping #frauds #bigbasket #amazon #flipkart #snapdeal #shopclues #blinkit reality"
1.6119797960950415e+18,2023-01-08 06:55:07+00:00,https://twitter.com/ANANDSEHGAL12/status/1611979796095041537,0,0,8.0,@JioMart_Support @JioMart order cancelled twice in a row without any information. That too after 4 days of ordering. Very poor service when other companies offer 15 min delivery. Not ordering from jio again.@reliancejio @bigbasket_com @letsblinkit @ZeptoNow @DunzoIt
1.6120139491591086e+18,2023-01-08 09:10:49+00:00,https://twitter.com/anak2422/status/1612013949159108609,2,1,199.0,"Hey @v0hra @aadit_palicha 
Respect for what you both did.
However, a customer feedback -

Neither your interface is tecnically okay (pic) nor your customer service is upto the mark.

After experincing a problem, I understood how blinkit is far ahead from @ZeptoNow 
@zeptocares https://t.co/6lZnLnB1l8"
1.6120208900527268e+18,2023-01-08 09:38:24+00:00,https://twitter.com/RamSNarayan/status/1612020890052726784,0,0,38.0,"Am done with these many number of ads and noise from @letsblinkit but yet not delivering to my location inside Bangalore urban! @DunzoIt , @ZeptoNow , @SwiggyInstamart , @bigbasket_com and many local vendors deliver to my location btw!"
